"#","ID","UserName","Action","Old Value","New Value","Model","Field","Stamp","Model ID",""
"1","41","theta","SET","","cat-3","common\models\CustomerGroup","description","2017-08-02 13:36:10","6",""
"2","40","theta","SET","","cat-3","common\models\CustomerGroup","customer_group","2017-08-02 13:36:10","6",""
"3","39","theta","SET","","6","common\models\CustomerGroup","id","2017-08-02 13:36:10","6",""
"4","38","theta","CREATE","(not set)","(not set)","common\models\CustomerGroup","(not set)","2017-08-02 13:36:10","6",""
"5","37","admin","SET","","6","common\models\UserPermission","user_group_id","2017-08-02 13:21:44","70",""
"6","36","admin","SET","","view","common\models\UserPermission","action","2017-08-02 13:21:44","70",""
"7","35","admin","SET","","Withdraw","common\models\UserPermission","controller","2017-08-02 13:21:44","70",""
"8","34","admin","SET","","70","common\models\UserPermission","id","2017-08-02 13:21:44","70",""
"9","33","admin","CREATE","(not set)","(not set)","common\models\UserPermission","(not set)","2017-08-02 13:21:44","70",""
"10","32","admin","SET","","6","common\models\UserPermission","user_group_id","2017-08-02 13:21:44","69",""
"11","31","admin","SET","","index","common\models\UserPermission","action","2017-08-02 13:21:44","69",""
"12","30","admin","SET","","Withdraw","common\models\UserPermission","controller","2017-08-02 13:21:44","69",""
"13","29","admin","SET","","69","common\models\UserPermission","id","2017-08-02 13:21:44","69",""
"14","28","admin","CREATE","(not set)","(not set)","common\models\UserPermission","(not set)","2017-08-02 13:21:44","69",""
"15","27","admin","SET","","CAT-B","common\models\ProductManagement","product_cat","2017-08-02 13:19:16","4",""
"16","26","admin","SET","","Type-3","common\models\ProductManagement","product_type","2017-08-02 13:19:16","4",""
"17","25","admin","SET","","1234","common\models\ProductManagement","product_cost","2017-08-02 13:19:16","4",""
"18","24","admin","SET","","122","common\models\ProductManagement","product_price","2017-08-02 13:19:16","4",""
"19","23","admin","SET","","cat-3","common\models\ProductManagement","product_code","2017-08-02 13:19:16","4",""
"20","22","admin","SET","","wire mesh 3","common\models\ProductManagement","description","2017-08-02 13:19:16","4",""
"21","21","admin","SET","","wire mesh 3","common\models\ProductManagement","product_name","2017-08-02 13:19:16","4",""
"22","20","admin","SET","","4","common\models\ProductManagement","id","2017-08-02 13:19:16","4",""
"23","19","admin","CREATE","(not set)","(not set)","common\models\ProductManagement","(not set)","2017-08-02 13:19:16","4",""
"24","18","admin","DELETE","(not set)","(not set)","common\models\Customer","(not set)","2017-08-02 11:44:24","10",""
"25","17","admin","CHANGE","redA","Cust-A","common\models\Customer","customer_group","2017-08-02 11:44:00","10",""
"26","16","admin","CHANGE","new customer","new customerabc","common\models\Customer","company_name","2017-08-02 11:44:00","10",""
"27","15","admin","SET","","444123","common\models\Customer","remark","2017-08-02 11:43:25","10",""
"28","14","admin","SET","","123","common\models\Customer","address","2017-08-02 11:43:25","10",""
"29","13","admin","SET","","123","common\models\Customer","mobile","2017-08-02 11:43:25","10",""
"30","12","admin","SET","","new@new.c","common\models\Customer","email","2017-08-02 11:43:24","10",""
"31","11","admin","SET","","123","common\models\Customer","contact_person","2017-08-02 11:43:24","10",""
"32","10","admin","SET","","redA","common\models\Customer","customer_group","2017-08-02 11:43:24","10",""
"33","9","admin","SET","","new customer","common\models\Customer","company_name","2017-08-02 11:43:24","10",""
"34","8","admin","SET","","10","common\models\Customer","id","2017-08-02 11:43:24","10",""
"35","7","admin","CREATE","(not set)","(not set)","common\models\Customer","(not set)","2017-08-02 11:43:24","10",""
"36","6","admin","SET","","cbd","common\models\Country","capital","2017-08-02 11:32:51","3",""
"37","5","admin","SET","","abc","common\models\Country","country","2017-08-02 11:32:51","3",""
"38","4","admin","SET","","3","common\models\Country","id","2017-08-02 11:32:51","3",""
"39","3","admin","CREATE","(not set)","(not set)","common\models\Country","(not set)","2017-08-02 11:32:51","3",""
"40","2","admin","CHANGE","UAE12","UAE121","common\models\Country","country","2018-08-20 11:32:04","2",""
"41","1","admin","CHANGE","UEA","UEAa","common\models\Country","capital","2018-08-02 11:32:00","2",""
